Round,a\b,G,C,P
,G,0,0,10
,C,6,9,35
,P,9,22,9

Round 68
,G,0,6,9
,C,0,10,19
,P,9,36,11

Round 69
,G,1,0,8
,C,10,14,31
,P,2,20,14

Round 70
,G,0,9,1
,C,0,13,25
,P,10,35,7

Round 71
,G,0,0,10
,C,12,9,29
,P,19,13,8

Round 72
,G,0,12,16
,C,0,11,14
,P,11,29,7

Round 73
,G,0,0,9
,C,11,19,34
,P,1,26,0

Round 74
,G,0,9,6
,C,2,16,20
,P,9,33,5

Round 75
,G,0,0,12
,C,12,19,21
,P,7,21,8

Round 76
,G,0,14,4
,C,2,18,22
,P,11,22,7

Round 77
,G,2,4,11
,C,8,23,20
,P,2,28,2

Round 78
,G,0,11,1
,C,5,9,41
,P,17,13,3

Round 79
,G,0,2,20
,C,10,7,14
,P,2,45,0

Round 80
,G,1,14,0
,C,7,22,19
,P,5,32,0

Round 81
,G,0,0,5
,C,2,46,38
,P,0,8,1

Round 82
,G,0,0,0
,C,0,51,0
,P,0,48,1

Round 83
,G,0,4,0
,C,6,39,38
,P,0,13,0

Round 84
,G,0,0,0
,C,16,51,0
,P,0,33,0

Round 85
,G,0,13,0
,C,5,44,33
,P,0,5,0

Round 86
,G,2,6,1
,C,13,33,11
,P,2,32,0

Round 87
,G,1,11,2
,C,14,20,38
,P,0,13,1

Round 88
,G,4,6,2
,C,12,38,10
,P,7,21,0

Round 89
,G,7,9,9
,C,3,51,11
,P,1,9,0

Round 90
,G,3,8,1
,C,18,26,12
,P,2,29,1

Round 91
,G,6,15,0
,C,12,33,24
,P,0,9,1

Round 92
,G,9,9,0
,C,15,30,13
,P,2,21,1

Round 93
,G,3,18,1
,C,13,21,29
,P,0,14,1

Round 94
,G,7,7,2
,C,27,26,4
,P,1,26,0

Round 95
,G,7,24,3
,C,11,22,23
,P,2,8,0

Round 96
,G,9,10,1
,C,26,19,8
,P,1,26,0

Round 97
,G,10,30,0
,C,12,20,25
,P,0,3,0

Round 98
,G,8,11,0
,C,30,19,5
,P,0,27,0

Round 99
,G,8,35,3
,C,10,28,14
,P,1,1,0

Round 100
,G,10,13,3
,C,35,20,3
,P,0,16,0

Round 101
,G,7,6,5
,C,24,7,29
,P,8,11,3

Round 102
,G,5,29,7
,C,5,11,11
,P,3,21,8

Round 103
,G,5,8,3
,C,28,13,28
,P,6,7,2

Round 104
,G,3,27,3
,C,8,14,10
,P,6,28,1

Round 105
,G,4,8,3
,C,26,12,29
,P,5,11,2

Round 106
,G,4,23,10
,C,7,11,11
,P,3,29,2

Round 107
,G,7,6,3
,C,29,13,19
,P,6,13,4

Round 108
,G,6,35,1
,C,6,19,8
,P,3,19,3

Round 109
,G,10,3,5
,C,34,27,12
,P,1,3,5

Round 110
,G,8,39,7
,C,9,16,4
,P,2,14,1

Round 111
,G,14,7,0
,C,52,24,1
,P,1,1,0

Round 112
,G,7,35,11
,C,5,12,9
,P,1,16,4

Round 113
,G,14,3,2
,C,31,16,28
,P,2,4,0

Round 114
,G,11,33,0
,C,0,15,9
,P,10,22,0

Round 115
,G,7,2,6
,C,36,18,22
,P,2,7,0

Round 116
,G,5,35,3
,C,8,12,10
,P,8,17,2

Round 117
,G,10,2,8
,C,37,15,12
,P,6,9,1

Round 118
,G,6,41,4
,C,0,17,10
,P,10,12,0

Round 119
,G,10,0,8
,C,47,18,9
,P,0,8,0

Round 120
,G,5,82,3
,C,1,2,1
,P,0,6,0

Round 121
,G,3,3,6
,C,41,26,11
,P,0,9,1

Round 122
,G,0,8,8
,C,1,27,36
,P,0,11,9

Round 123
,G,0,1,0
,C,8,30,3
,P,9,31,18

Round 124
,G,1,7,3
,C,4,26,36
,P,0,7,16

Round 125
,G,0,1,0
,C,3,32,0
,P,21,34,9

Round 126
,G,0,9,18
,C,4,24,33
,P,0,8,4

Round 127
,G,0,2,0
,C,8,28,7
,P,10,35,10

Round 128
,G,0,2,13
,C,4,24,42
,P,0,3,12

Round 129
,G,0,5,0
,C,6,17,8
,P,14,41,9

Round 130
,G,1,4,13
,C,6,23,41
,P,0,5,7

Round 131
,G,0,4,0
,C,4,14,9
,P,14,50,5

Round 132
,G,0,1,12
,C,1,11,53
,P,0,11,11

Round 133
,G,0,2,0
,C,2,8,4
,P,8,68,8

Round 134
,G,0,0,1
,C,1,2,96
,P,0,0,0

Round 135
,G,0,1,0
,C,0,3,1
,P,4,89,2

Round 136
,G,0,0,1
,C,2,2,95
,P,0,0,0

Round 137
,G,0,0,0
,C,0,1,0
,P,2,96,1

Round 138
,G,0,1,1
,C,0,1,97
,P,0,0,0

Round 139
,G,0,1,0
,C,1,2,0
,P,4,91,1

Round 140
,G,0,1,2
,C,3,3,90
,P,0,0,1

Round 141
,G,0,0,0
,C,1,0,0
,P,0,98,1

Round 142
,G,1,1,6
,C,22,3,35
,P,3,20,9

Round 143
,G,0,22,0
,C,1,1,19
,P,11,37,9

Round 144
,G,2,2,6
,C,30,4,35
,P,2,8,11

Round 145
,G,2,26,3
,C,1,2,7
,P,6,43,10

Round 146
,G,1,1,6
,C,31,8,27
,P,1,11,14

Round 147
,G,3,23,6
,C,2,7,11
,P,12,27,9

Round 148
,G,4,3,9
,C,25,6,25
,P,7,14,7

Round 149
,G,2,32,2
,C,2,6,14
,P,6,29,7

Round 150
,G,0,0,12
,C,26,4,28
,P,7,16,7

Round 151
,G,5,30,4
,C,2,1,14
,P,7,29,8

Round 152
,G,0,0,4
,C,36,17,36
,P,3,2,2

Round 153
,G,1,25,10
,C,0,0,18
,P,10,26,10

Round 154
,G,0,0,15
,C,23,8,25
,P,11,10,8

Round 155
,G,2,22,11
,C,0,8,11
,P,17,24,5

Round 156
,G,0,0,10
,C,27,0,27
,P,8,17,11

Round 157
,G,1,27,7
,C,1,3,15
,P,8,30,8

Round 158
,G,0,0,3
,C,36,11,38
,P,3,7,2

Round 159
,G,1,21,12
,C,2,6,10
,P,14,24,10

Round 160
,G,1,1,10
,C,29,9,25
,P,6,13,6

Round 161
,G,7,9,10
,C,1,2,16
,P,23,21,11

Round 162
,G,8,1,13
,C,11,1,10
,P,27,25,4

Round 163
,G,4,19,19
,C,0,2,25
,P,16,13,2

Round 164
,G,0,0,20
,C,18,1,19
,P,22,18,2

Round 165
,G,4,13,28
,C,3,1,21
,P,14,10,6

Round 166
,G,1,0,20
,C,18,2,19
,P,20,18,2

Round 167
,G,9,9,27
,C,4,5,21
,P,12,10,3

Round 168
,G,8,0,17
,C,10,1,8
,P,25,29,2

Round 169
,G,18,0,29
,C,2,4,22
,P,14,10,1

Round 170
,G,10,5,13
,C,5,8,11
,P,31,15,2

Round 171
,G,13,9,29
,C,10,7,8
,P,6,15,3

Round 172
,G,20,10,21
,C,1,3,8
,P,21,15,1

Round 173
,G,3,5,28
,C,3,5,15
,P,17,21,3

Round 174
,G,7,2,18
,C,4,4,17
,P,26,21,1

Round 175
,G,8,1,27
,C,3,3,17
,P,20,17,4

Round 176
,G,0,0,22
,C,4,2,23
,P,25,21,3

Round 177
,G,4,3,26
,C,1,1,21
,P,22,19,3

Round 178
,G,0,1,23
,C,1,2,24
,P,26,22,1

Round 179
,G,1,4,29
,C,0,3,20
,P,20,21,2

Round 180
,G,0,1,21
,C,5,2,20
,P,26,21,4

Round 181
,G,7,9,19
,C,13,2,13
,P,27,7,3

Round 182
,G,9,21,20
,C,6,0,11
,P,1,21,11

Round 183
,G,7,5,2
,C,20,2,17
,P,28,10,9

Round 184
,G,2,18,22
,C,9,0,10
,P,1,28,10

Round 185
,G,3,8,2
,C,19,1,23
,P,22,12,10

Round 186
,G,7,16,35
,C,1,2,3
,P,9,24,3

Round 187
,G,6,5,8
,C,13,3,16
,P,35,10,4

Round 188
,G,4,17,22
,C,6,3,12
,P,3,24,9

Round 189
,G,6,7,1
,C,8,9,21
,P,28,16,4

Round 190
,G,1,1,7
,C,3,2,84
,P,0,1,1

Round 191
,G,2,3,0
,C,4,1,5
,P,13,71,1

Round 192
,G,6,12,30
,C,6,3,20
,P,4,12,7

Round 193
,G,8,5,4
,C,13,4,11
,P,34,16,5

Round 194
,G,5,12,29
,C,9,6,30
,P,3,3,3

Round 195
,G,7,2,6
,C,9,2,23
,P,35,11,5

Round 196
,G,5,4,18
,C,3,4,48
,P,3,7,8

Round 197
,G,4,1,4
,C,7,7,16
,P,35,21,5

Round 198
,G,6,10,37
,C,1,4,8
,P,5,25,4

Round 199
,G,5,1,7
,C,6,9,20
,P,36,11,5

Round 200
,G,6,7,42
,C,3,6,9
,P,6,21,0

Round 201
,G,4,11,2
,C,6,11,18
,P,12,23,13

Round 202
,G,2,3,18
,C,7,6,26
,P,6,22,10

Round 203
,G,0,3,9
,C,2,5,31
,P,23,23,4

Round 204
,G,0,3,18
,C,11,8,23
,P,11,14,12

Round 205
,G,0,5,12
,C,6,2,26
,P,21,24,4

Round 206
,G,1,2,21
,C,4,6,24
,P,11,27,4

Round 207
,G,2,9,4
,C,0,12,25
,P,15,23,10

Round 208
,G,0,3,18
,C,8,5,23
,P,8,28,7

Round 209
,G,2,5,7
,C,4,5,28
,P,16,23,10

Round 210
,G,2,4,18
,C,6,3,18
,P,12,24,13

Round 211
,G,0,1,13
,C,4,2,31
,P,21,24,4

Round 212
,G,2,0,17
,C,8,10,23
,P,5,27,8

Round 213
,G,1,7,8
,C,0,11,24
,P,17,25,7

Round 214
,G,1,1,19
,C,7,10,19
,P,14,18,11

Round 215
,G,1,12,4
,C,6,8,23
,P,15,27,4

Round 216
,G,2,0,22
,C,4,2,21
,P,12,31,6

Round 217
,G,2,3,11
,C,0,3,33
,P,23,21,4

Round 218
,G,1,0,20
,C,4,8,21
,P,14,24,8

Round 219
,G,2,4,9
,C,0,8,24
,P,16,31,6

Round 220
,G,1,0,16
,C,4,9,28
,P,10,25,7

Round 221
,G,0,0,15
,C,0,14,14
,P,28,15,14

Round 222
,G,1,2,30
,C,1,1,28
,P,31,2,4

Round 223
,G,2,7,12
,C,3,6,23
,P,22,17,8

Round 224
,G,1,1,24
,C,4,1,19
,P,15,32,3

Round 225
,G,0,4,13
,C,1,8,22
,P,25,16,11

Round 226
,G,0,0,25
,C,1,0,23
,P,14,36,1

Round 227
,G,0,2,14
,C,0,8,24
,P,27,16,9

Round 228
,G,1,2,25
,C,2,6,18
,P,13,25,8

Round 229
,G,2,1,11
,C,1,2,34
,P,23,22,4

Round 230
,G,3,0,23
,C,2,1,21
,P,14,32,4

Round 231
,G,1,2,12
,C,0,4,32
,P,23,20,6

Round 232
,G,0,1,32
,C,30,0,2
,P,3,30,2

Round 233
,G,0,2,13
,C,1,0,34
,P,24,21,5

Round 234
,G,3,0,23
,C,0,0,24
,P,14,35,1

Round 235
,G,3,2,13
,C,2,0,32
,P,23,24,1

Round 236
,G,1,2,24
,C,1,2,22
,P,16,28,4

Round 237
,G,1,5,15
,C,2,1,30
,P,23,18,5

Round 238
,G,3,3,19
,C,6,1,18
,P,10,34,6

Round 239
,G,0,2,13
,C,3,2,32
,P,21,23,4

Round 240
,G,1,0,23
,C,2,1,23
,P,10,36,4

Round 241
,G,0,14,8
,C,6,1,31
,P,33,6,1

Round 242
,G,2,2,28
,C,2,2,16
,P,4,43,1

Round 243
,G,2,5,10
,C,6,6,25
,P,25,10,11

Round 244
,G,0,0,33
,C,1,0,0
,P,33,33,0

Round 245
,G,0,1,7
,C,2,1,43
,P,27,18,1

Round 246
,G,0,2,32
,C,2,1,3
,P,28,32,0

Round 247
,G,2,9,8
,C,3,1,35
,P,27,12,3

Round 248
,G,4,5,27
,C,2,1,10
,P,18,32,1

Round 249
,G,0,6,19
,C,3,3,28
,P,29,6,6

Round 250
,G,0,1,28
,C,2,0,12
,P,16,41,0

Round 251
,G,0,2,23
,C,4,2,31
,P,30,7,1

Round 252
,G,2,2,27
,C,3,2,14
,P,8,39,3

Round 253
,G,0,2,15
,C,1,1,40
,P,29,11,1

Round 254
,G,3,3,25
,C,8,1,13
,P,5,34,8

Round 255
,G,2,0,5
,C,6,3,38
,P,28,17,1

Round 256
,G,1,4,26
,C,0,2,20
,P,6,39,2

Round 257
,G,0,1,33
,C,0,1,32
,P,33,0,0

Round 258
,G,1,5,24
,C,14,2,3
,P,10,24,17

Round 259
,G,1,0,7
,C,6,0,38
,P,21,23,4

Round 260
,G,1,2,24
,C,1,1,21
,P,2,46,2

Round 261
,G,0,2,2
,C,0,1,47
,P,25,23,0

Round 262
,G,0,1,24
,C,8,3,14
,P,4,37,9

Round 263
,G,0,0,2
,C,0,1,47
,P,25,24,1

Round 264
,G,1,0,25
,C,0,1,24
,P,2,46,1

Round 265
,G,0,4,3
,C,4,1,41
,P,24,20,3

Round 266
,G,0,4,24
,C,5,0,21
,P,4,38,4

Round 267
,G,2,2,2
,C,4,1,42
,P,24,21,2

Round 268
,G,1,0,25
,C,2,2,20
,P,1,46,3

Round 269
,G,0,1,3
,C,3,0,45
,P,24,24,0

Round 270
,G,0,0,25
,C,4,1,20
,P,3,46,1

Round 271
,G,0,1,3
,C,2,2,43
,P,24,23,2

Round 272
,G,0,1,26
,C,3,1,21
,P,3,41,4

Round 273
,G,1,2,3
,C,4,4,38
,P,25,20,3

Round 274
,G,0,5,25
,C,5,5,17
,P,4,37,2

Round 275
,G,1,1,3
,C,3,2,43
,P,25,22,0

Round 276
,G,0,1,25
,C,1,2,22
,P,0,46,3

Round 277
,G,2,1,8
,C,6,4,35
,P,25,17,2

Round 278
,G,0,2,26
,C,5,1,18
,P,4,40,4

Round 279
,G,0,1,2
,C,0,2,45
,P,24,23,3

Round 280
,G,0,6,24
,C,8,1,17
,P,8,30,6

Round 281
,G,1,0,30
,C,4,1,28
,P,29,4,3

Round 282
,G,5,11,22
,C,8,2,10
,P,14,20,8

Round 283
,G,2,6,15
,C,13,6,15
,P,20,14,9

Round 284
,G,2,14,22
,C,6,7,12
,P,16,16,5

Round 285
,G,5,0,23
,C,8,3,23
,P,25,9,4

Round 286
,G,4,16,27
,C,6,6,8
,P,14,14,5

Round 287
,G,2,2,23
,C,8,6,23
,P,28,6,2

Round 288
,G,5,8,24
,C,3,3,9
,P,20,21,7

Round 289
,G,5,2,14
,C,11,8,18
,P,21,14,7

Round 290
,G,6,8,25
,C,2,4,11
,P,21,21,2

Round 291
,G,5,3,9
,C,12,10,18
,P,21,16,6

Round 292
,G,3,11,22
,C,7,2,13
,P,14,17,11

Round 293
,G,1,6,11
,C,11,0,22
,P,25,18,6

Round 294
,G,0,6,29
,C,2,0,9
,P,25,26,3

Round 295
,G,2,0,29
,C,4,1,28
,P,28,5,3

Round 296
,G,6,20,19
,C,5,4,19
,P,10,12,5

Round 297
,G,5,0,7
,C,16,10,22
,P,18,21,1

Round 298
,G,4,14,19
,C,1,7,20
,P,16,16,3

Round 299
,G,1,0,22
,C,8,2,26
,P,30,10,1

Round 300
,G,1,2,32
,C,0,1,3
,P,31,30,0

Round 301
,G,0,0,2
,C,0,0,48
,P,13,25,12

Round 302
,G,1,2,12
,C,1,0,24
,P,5,43,12

Round 303
,G,1,1,24
,C,4,3,27
,P,26,10,4

Round 304
,G,2,2,27
,C,2,1,6
,P,28,30,2

Round 305
,G,0,1,2
,C,0,3,44
,P,5,43,2

Round 306
,G,0,1,8
,C,1,4,39
,P,5,40,2

Round 307
,G,0,0,2
,C,1,1,46
,P,4,46,0

Round 308
,G,0,0,3
,C,0,1,46
,P,4,46,0

Round 309
,G,0,0,7
,C,4,0,41
,P,8,36,4

Round 310
,G,0,2,28
,C,2,0,9
,P,26,32,1

Round 311
,G,0,0,2
,C,1,0,47
,P,14,25,11

Round 312
,G,0,2,14
,C,1,0,23
,P,3,45,12

Round 313
,G,0,0,3
,C,12,2,33
,P,15,34,1

Round 314
,G,1,8,19
,C,4,3,21
,P,11,31,2

Round 315
,G,0,0,2
,C,1,0,47
,P,3,47,0

Round 316
,G,1,2,3
,C,1,1,44
,P,4,43,1

Round 317
,G,0,0,3
,C,11,3,33
,P,15,32,3

Round 318
,G,0,9,16
,C,1,3,30
,P,7,32,2

Round 319
,G,1,0,28
,C,5,1,28
,P,28,6,3

Round 320
,G,0,12,13
,C,3,0,33
,P,3,34,2

Round 321
,G,0,0,6
,C,6,4,34
,P,25,21,4

Round 322
,G,1,4,27
,C,0,3,8
,P,20,31,6

Round 323
,G,4,3,24
,C,6,3,23
,P,27,10,0

Round 324
,G,3,6,26
,C,2,9,10
,P,14,28,2

Round 325
,G,6,0,7
,C,8,2,30
,P,24,23,0

Round 326
,G,1,4,30
,C,1,5,9
,P,19,30,1

Round 327
,G,9,0,10
,C,11,1,23
,P,20,26,0

Round 328
,G,2,3,24
,C,1,1,17
,P,11,38,3

Round 329
,G,1,1,30
,C,0,4,31
,P,32,0,1

Round 330
,G,1,6,26
,C,0,3,16
,P,16,30,2

Round 331
,G,0,1,29
,C,2,4,30
,P,32,2,0

Round 332
,G,1,4,30
,C,2,2,3
,P,28,29,1

Round 333
,G,1,1,27
,C,2,1,31
,P,31,6,0

Round 334
,G,2,5,29
,C,1,1,8
,P,25,29,0

Round 335
,G,1,1,13
,C,7,4,30
,P,25,18,1

Round 336
,G,0,7,26
,C,0,5,17
,P,16,28,1

Round 337
,G,0,0,2
,C,1,1,46
,P,26,24,0

Round 338
,G,1,3,30
,C,3,3,5
,P,25,27,3

Round 339
,G,1,1,28
,C,3,3,27
,P,29,7,1

Round 340
,G,1,2,31
,C,0,14,6
,P,15,31,0

Round 341
,G,4,5,21
,C,5,6,20
,P,27,10,2

Round 342
,G,8,22,15
,C,4,3,29
,P,6,12,1

Round 343
,G,11,0,2
,C,23,0,14
,P,14,36,0

Round 344
,G,8,22,18
,C,5,1,27
,P,4,13,2

Round 345
,G,5,5,2
,C,20,5,15
,P,27,16,5

Round 346
,G,2,12,23
,C,4,3,16
,P,14,23,3

Round 347
,G,6,5,6
,C,18,11,7
,P,19,19,9

Round 348
,G,7,20,16
,C,5,7,24
,P,6,9,6

Round 349
,G,9,1,5
,C,17,9,10
,P,15,32,2

Round 350
,G,5,8,26
,C,6,6,12
,P,16,18,3

Round 351
,G,8,1,6
,C,18,6,12
,P,17,30,2

Round 352
,G,1,2,32
,C,0,2,3
,P,30,30,0

Round 353
,G,1,0,31
,C,4,1,26
,P,32,4,1

Round 354
,G,1,3,32
,C,2,1,4
,P,30,26,1

Round 355
,G,3,1,28
,C,3,5,24
,P,28,5,3

Round 356
,G,3,7,28
,C,3,4,10
,P,18,27,0

Round 357
,G,4,3,16
,C,15,5,17
,P,22,16,2

Round 358
,G,5,6,22
,C,4,10,12
,P,18,17,6

Round 359
,G,4,4,21
,C,6,7,19
,P,24,10,5

Round 360
,G,7,17,16
,C,8,4,30
,P,7,11,0

Round 361
,G,11,3,15
,C,21,2,6
,P,17,24,1

Round 362
,G,3,3,29
,C,2,1,6
,P,28,28,0

Round 363
,G,8,1,22
,C,16,1,12
,P,21,18,1

Round 364
,G,5,12,25
,C,4,4,15
,P,19,14,2

Round 365
,G,0,0,34
,C,1,1,30
,P,33,0,1

Round 366
,G,1,3,32
,C,3,2,4
,P,28,26,1

Round 367
,G,9,1,15
,C,18,8,9
,P,17,21,2

Round 368
,G,9,19,14
,C,4,6,25
,P,10,9,4

Round 369
,G,3,4,25
,C,6,0,26
,P,28,7,1

Round 370
,G,6,8,26
,C,4,8,9
,P,17,21,1

Round 371
,G,10,2,15
,C,21,4,6
,P,16,26,0

Round 372
,G,0,4,32
,C,3,4,4
,P,26,25,2

Round 373
,G,3,0,5
,C,5,25,26
,P,28,7,1

Round 374
,G,3,12,21
,C,4,1,17
,P,21,18,3

Round 375
,G,1,1,25
,C,15,1,13
,P,14,23,7

Round 376
,G,1,15,12
,C,0,5,23
,P,24,9,11

Round 377
,G,3,3,19
,C,7,8,22
,P,26,11,1

Round 378
,G,2,11,18
,C,2,4,19
,P,26,15,3

Round 379
,G,0,0,34
,C,1,1,30
,P,33,0,1

Round 380
,G,2,20,8
,C,2,2,40
,P,21,5,0

Round 381
,G,0,0,30
,C,3,1,31
,P,29,4,2

Round 382
,G,3,8,23
,C,2,2,12
,P,24,22,4

Round 383
,G,0,0,34
,C,1,1,30
,P,33,0,1

Round 384
,G,3,4,28
,C,1,3,7
,P,27,26,1

Round 385
,G,1,0,30
,C,3,2,26
,P,31,7,0

Round 386
,G,3,6,26
,C,3,11,11
,P,11,28,1

Round 387
,G,2,1,27
,C,7,2,25
,P,30,5,1

Round 388
,G,4,14,22
,C,6,8,15
,P,14,14,3

Round 389
,G,0,2,30
,C,3,0,29
,P,30,6,0

Round 390
,G,1,3,25
,C,4,0,10
,P,25,30,2

Round 391
,G,4,1,21
,C,8,7,23
,P,22,12,2

Round 392
,G,0,4,29
,C,2,7,6
,P,24,27,1

Round 393
,G,0,3,27
,C,3,5,26
,P,27,4,5

Round 394
,G,1,8,28
,C,3,9,13
,P,16,22,0

Round 395
,G,0,2,26
,C,4,5,27
,P,29,4,3

Round 396
,G,7,4,19
,C,8,10,18
,P,12,20,2

Round 397
,G,10,9,10
,C,3,8,19
,P,21,20,0

Round 398
,G,2,4,21
,C,8,12,8
,P,11,24,10

Round 399
,G,1,1,32
,C,3,1,29
,P,32,0,1

Round 400
,G,1,9,24
,C,2,1,13
,P,24,24,2

Round 401
,G,4,2,19
,C,7,4,24
,P,28,9,3

Round 402
,G,0,4,30
,C,0,0,4
,P,34,26,2

Round 403
,G,0,0,34
,C,2,0,30
,P,32,1,1

Round 404
,G,5,9,19
,C,0,10,17
,P,15,22,3

Round 405
,G,2,0,28
,C,5,1,29
,P,26,7,2

Round 406
,G,0,2,32
,C,0,0,2
,P,33,30,1

Round 407
,G,2,0,28
,C,5,1,28
,P,27,8,1

Round 408
,G,4,10,21
,C,2,5,12
,P,23,22,1

Round 409
,G,2,1,28
,C,3,0,26
,P,29,11,0

Round 410
,G,0,10,27
,C,1,2,9
,P,26,23,2

Round 411
,G,0,1,31
,C,3,1,29
,P,30,5,0

Round 412
,G,1,7,28
,C,1,1,6
,P,26,28,2

Round 413
,G,2,1,27
,C,4,1,29
,P,28,8,0

Round 414
,G,1,5,28
,C,0,1,6
,P,27,31,1

Round 415
,G,1,1,28
,C,3,1,32
,P,30,4,0

Round 416
,G,2,8,24
,C,0,4,11
,P,25,23,3

Round 417
,G,4,1,22
,C,12,1,23
,P,23,14,0

Round 418
,G,1,4,30
,C,0,0,6
,P,29,29,1

Round 419
,G,0,1,30
,C,2,1,28
,P,29,9,0

Round 420
,G,2,8,18
,C,1,6,16
,P,21,26,2

Round 421
,G,1,2,27
,C,5,2,28
,P,26,8,1

Round 422
,G,3,4,25
,C,2,5,8
,P,25,27,1

Round 423
,G,1,1,29
,C,2,1,31
,P,29,4,2

Round 424
,G,4,4,26
