Round,a\b,G,C,P
,G,5,8,16
,C,7,6,7
,P,22,23,6

Round 68
,G,7,13,21
,C,6,6,9
,P,15,18,5

Round 69
,G,13,7,12
,C,7,7,2
,P,22,23,7

Round 70
,G,0,8,15
,C,11,5,3
,P,34,20,4

Round 71
,G,10,10,16
,C,2,10,12
,P,4,23,13

Round 72
,G,3,16,27
,C,2,10,12
,P,5,20,5

Round 73
,G,4,13,10
,C,8,12,8
,P,10,32,3

Round 74
,G,1,14,23
,C,2,11,11
,P,3,29,6

Round 75
,G,3,13,11
,C,4,5,15
,P,8,32,9

Round 76
,G,1,12,23
,C,2,23,6
,P,2,29,2

Round 77
,G,3,39,10
,C,3,15,12
,P,1,17,0

Round 78
,G,0,27,16
,C,5,5,13
,P,6,24,4

Round 79
,G,1,9,25
,C,0,29,12
,P,0,10,14

Round 80
,G,5,15,17
,C,7,14,7
,P,4,28,3

Round 81
,G,2,22,14
,C,4,33,8
,P,0,16,1

Round 82
,G,1,9,10
,C,0,43,9
,P,0,19,9

Round 83
,G,2,19,12
,C,4,21,14
,P,0,20,8

Round 84
,G,3,18,12
,C,4,19,11
,P,3,26,4

Round 85
,G,4,20,11
,C,8,10,15
,P,0,24,8

Round 86
,G,4,15,10
,C,6,21,13
,P,1,17,13

Round 87
,G,0,6,36
,C,2,1,24
,P,0,25,6

Round 88
,G,1,50,10
,C,4,10,5
,P,1,16,3

Round 89
,G,2,22,14
,C,2,21,11
,P,3,19,6

Round 90
,G,2,17,19
,C,2,12,16
,P,2,22,8

Round 91
,G,0,2,17
,C,10,3,20
,P,7,36,5

Round 92
,G,0,2,15
,C,4,15,25
,P,3,26,10

Round 93
,G,0,9,3
,C,2,35,34
,P,1,9,7

Round 94
,G,0,2,13
,C,1,8,27
,P,14,32,3

Round 95
,G,1,11,13
,C,5,18,15
,P,4,24,9

Round 96
,G,2,1,7
,C,3,21,28
,P,5,22,11

Round 97
,G,3,4,7
,C,1,14,24
,P,13,28,6

Round 98
,G,1,4,9
,C,6,14,20
,P,10,26,10

Round 99
,G,1,3,16
,C,6,19,21
,P,2,22,10

Round 100
,G,0,9,16
,C,6,20,20
,P,5,19,5

Round 101
,G,0,1,5
,C,1,26,39
,P,0,28,0

Round 102
,G,0,1,11
,C,2,35,12
,P,3,35,1

Round 103
,G,0,1,3
,C,2,31,30
,P,3,26,4

Round 104
,G,0,7,4
,C,0,30,29
,P,1,29,0

Round 105
,G,0,3,9
,C,6,21,19
,P,0,35,7

Round 106
,G,2,4,10
,C,8,15,8
,P,5,39,9

Round 107
,G,1,3,16
,C,3,30,8
,P,1,31,7

Round 108
,G,0,9,2
,C,3,26,24
,P,1,32,3

Round 109
,G,0,2,10
,C,6,23,17
,P,9,31,2

Round 110
,G,0,3,0
,C,11,46,12
,P,0,19,9

Round 111
,G,1,0,15
,C,3,30,8
,P,3,37,3

Round 112
,G,0,2,5
,C,10,27,19
,P,1,33,3

Round 113
,G,1,3,4
,C,5,17,18
,P,9,34,9

Round 114
,G,2,6,6
,C,13,14,13
,P,6,37,3

Round 115
,G,0,10,5
,C,14,11,15
,P,7,37,1

Round 116
,G,0,4,5
,C,3,19,18
,P,11,35,5

Round 117
,G,0,6,8
,C,2,17,16
,P,10,36,5

Round 118
,G,0,2,1
,C,0,36,19
,P,2,40,0

Round 119
,G,0,3,8
,C,1,30,14
,P,9,32,3

Round 120
,G,2,7,6
,C,7,13,12
,P,9,36,8

Round 121
,G,0,2,7
,C,12,12,14
,P,12,36,5

Round 122
,G,1,6,18
,C,3,22,26
,P,0,21,3

Round 123
,G,0,19,1
,C,0,39,20
,P,1,20,0

Round 124
,G,0,4,2
,C,3,45,21
,P,2,21,2

Round 125
,G,3,8,2
,C,6,46,14
,P,2,17,2

Round 126
,G,0,10,2
,C,13,46,24
,P,1,3,1

Round 127
,G,0,7,3
,C,6,55,11
,P,3,12,3

Round 128
,G,1,13,4
,C,3,34,11
,P,9,20,5

Round 129
,G,0,17,8
,C,2,46,9
,P,3,13,2

Round 130
,G,0,21,10
,C,11,15,7
,P,9,20,7

Round 131
,G,3,7,5
,C,9,27,16
,P,7,21,5

Round 132
,G,0,23,14
,C,10,16,7
,P,6,23,1

Round 133
,G,7,18,6
,C,7,26,7
,P,6,20,3

Round 134
,G,1,9,7
,C,10,9,21
,P,12,25,6

Round 135
,G,6,11,8
,C,8,8,11
,P,14,30,4

Round 136
,G,2,8,9
,C,2,17,14
,P,5,42,1

Round 137
,G,9,26,3
,C,11,13,13
,P,7,9,9

Round 138
,G,2,10,9
,C,10,14,14
,P,10,26,5

Round 139
,G,5,16,10
,C,13,8,7
,P,15,23,3

Round 140
,G,5,20,10
,C,7,19,8
,P,3,26,2

Round 141
,G,3,13,9
,C,8,17,18
,P,4,24,4

Round 142
,G,4,11,15
,C,6,14,8
,P,6,33,3

Round 143
,G,0,11,17
,C,0,8,11
,P,16,37,0

Round 144
,G,4,17,16
,C,2,11,7
,P,10,29,4

Round 145
,G,7,26,9
,C,7,9,9
,P,4,27,2

Round 146
,G,3,7,9
,C,4,7,11
,P,6,37,16

Round 147
,G,2,12,19
,C,1,11,9
,P,1,44,1

Round 148
,G,6,15,15
,C,4,9,8
,P,3,33,7

Round 149
,G,1,0,32
,C,0,1,1
,P,0,65,0

Round 150
,G,4,9,18
,C,2,6,6
,P,4,50,1

Round 151
,G,7,5,21
,C,3,3,4
,P,6,50,1

Round 152
,G,9,23,11
,C,7,7,6
,P,9,25,3

Round 153
,G,3,11,20
,C,6,17,15
,P,1,26,1

Round 154
,G,2,5,14
,C,6,17,4
,P,13,35,4

Round 155
,G,6,9,12
,C,10,13,8
,P,12,24,6

Round 156
,G,3,12,8
,C,12,8,7
,P,8,37,5

Round 157
,G,2,4,20
,C,1,22,4
,P,4,42,1

Round 158
,G,0,3,22
,C,5,12,4
,P,3,48,3

Round 159
,G,11,9,11
,C,9,12,6
,P,10,29,3

Round 160
,G,9,13,10
,C,7,13,5
,P,8,33,2

Round 161
,G,1,15,15
,C,2,12,11
,P,2,41,1

Round 162
,G,5,16,15
,C,7,21,7
,P,3,22,4

Round 163
,G,4,18,13
,C,8,19,8
,P,1,27,2

Round 164
,G,2,21,16
,C,7,17,10
,P,1,24,2

Round 165
,G,1,17,10
,C,13,12,11
,P,0,34,2

Round 166
,G,3,29,18
,C,7,16,4
,P,5,16,2

Round 167
,G,3,18,10
,C,9,23,8
,P,1,25,3

Round 168
,G,7,17,5
,C,7,18,5
,P,7,26,8

Round 169
,G,3,22,11
,C,7,16,10
,P,5,23,3

Round 170
,G,0,4,4
,C,3,34,3
,P,19,22,11

Round 171
,G,2,12,26
,C,13,14,2
,P,1,28,2

Round 172
,G,2,10,4
,C,3,8,29
,P,2,38,4

Round 173
,G,0,14,24
,C,11,2,3
,P,6,38,2

Round 174
,G,5,14,11
,C,5,2,19
,P,3,36,5

Round 175
,G,2,14,17
,C,10,8,8
,P,3,36,2

Round 176
,G,1,14,23
,C,13,2,3
,P,4,40,0

Round 177
,G,2,9,9
,C,10,5,19
,P,9,34,3

Round 178
,G,2,10,14
,C,9,10,10
,P,2,37,6

Round 179
,G,1,15,11
,C,4,8,14
,P,6,32,9

Round 180
,G,6,14,7
,C,4,13,17
,P,6,26,7

Round 181
,G,3,13,15
,C,11,4,12
,P,4,35,3

Round 182
,G,12,18,9
,C,6,13,16
,P,1,23,2

Round 183
,G,15,11,4
,C,5,11,21
,P,3,27,3

Round 184
,G,9,17,6
,C,10,11,17
,P,3,24,3

Round 185
,G,4,19,10
,C,9,10,9
,P,7,22,10

Round 186
,G,16,28,13
,C,8,3,5
,P,5,14,8

Round 187
,G,6,18,9
,C,11,10,14
,P,2,25,5

Round 188
,G,8,14,8
,C,11,11,4
,P,8,25,11

Round 189
,G,3,16,8
,C,12,10,21
,P,2,23,5

Round 190
,G,7,11,6
,C,11,8,24
,P,2,27,4

Round 191
,G,4,18,17
,C,10,5,11
,P,3,27,5

Round 192
,G,1,9,10
,C,20,20,14
,P,1,23,2

Round 193
,G,0,17,8
,C,11,8,17
,P,10,22,7

Round 194
,G,2,9,9
,C,15,18,17
,P,4,25,1

Round 195
,G,2,16,8
,C,12,19,12
,P,5,19,7

Round 196
,G,6,14,6
,C,13,22,16
,P,0,20,3

Round 197
,G,3,15,8
,C,18,17,13
,P,1,22,3

Round 198
,G,4,14,15
,C,6,12,15
,P,5,22,7

Round 199
,G,1,20,9
,C,9,11,15
,P,6,23,6

Round 200
,G,7,27,15
,C,8,11,10
,P,6,15,1

Round 201
,G,0,15,8
,C,15,22,15
,P,6,19,0

Round 202
,G,3,20,16
,C,10,6,10
,P,9,22,4

Round 203
,G,2,21,9
,C,6,13,19
,P,9,17,4

Round 204
,G,2,16,5
,C,8,16,19
,P,11,18,5

Round 205
,G,3,30,12
,C,11,8,14
,P,8,6,8

Round 206
,G,1,34,7
,C,14,7,12
,P,4,11,10

Round 207
,G,0,27,4
,C,14,2,22
,P,2,24,5

Round 208
,G,2,34,19
,C,9,2,5
,P,11,11,7

Round 209
,G,6,27,9
,C,11,7,18
,P,6,9,7

Round 210
,G,5,33,4
,C,7,4,20
,P,8,17,2

Round 211
,G,4,23,12
,C,15,6,13
,P,11,9,7

Round 212
,G,5,23,12
,C,13,10,20
,P,5,4,8

Round 213
,G,4,16,4
,C,14,14,15
,P,18,12,3

Round 214
,G,2,14,11
,C,12,7,12
,P,15,19,8

Round 215
,G,2,12,4
,C,12,17,18
,P,18,12,5

Round 216
,G,2,17,12
,C,3,3,17
,P,24,21,1

Round 217
,G,7,17,11
,C,6,2,13
,P,20,19,5

Round 218
,G,2,18,5
,C,6,6,15
,P,19,21,8

Round 219
,G,4,15,7
,C,13,8,25
,P,10,12,6

Round 220
,G,20,27,6
,C,4,5,27
,P,6,4,1

Round 221
,G,3,17,7
,C,8,10,16
,P,17,19,3

Round 222
,G,3,20,12
,C,3,2,17
,P,22,19,2

Round 223
,G,2,36,9
,C,7,2,17
,P,17,9,1

Round 224
,G,4,24,11
,C,12,7,16
,P,13,12,1

Round 225
,G,4,28,7
,C,7,6,21
,P,15,10,2

Round 226
,G,2,30,3
,C,14,2,18
,P,15,15,1

Round 227
,G,5,34,8
,C,9,5,14
,P,14,11,0

Round 228
,G,5,24,10
,C,4,3,17
,P,21,13,3

Round 229
,G,13,19,7
,C,9,4,15
,P,14,13,6

Round 230
,G,5,24,2
,C,11,5,21
,P,15,15,2

Round 231
,G,7,21,14
,C,8,3,15
,P,16,14,2

Round 232
,G,5,28,9
,C,6,6,13
,P,18,6,9

Round 233
,G,8,31,5
,C,9,5,9
,P,18,7,8

Round 234
,G,6,23,11
,C,12,8,6
,P,21,5,8

Round 235
,G,8,28,8
,C,4,3,17
,P,18,10,4

Round 236
,G,2,29,10
,C,11,7,5
,P,14,16,6

Round 237
,G,4,21,9
,C,8,12,14
,P,17,11,4

Round 238
,G,8,30,12
,C,7,3,9
,P,20,7,4

Round 239
,G,12,23,7
,C,2,6,18
,P,15,10,7

Round 240
,G,5,23,8
,C,8,13,16
,P,18,7,2

Round 241
,G,12,18,11
,C,10,2,8
,P,20,8,11

Round 242
,G,5,17,9
,C,9,3,16
,P,23,9,9

Round 243
,G,7,21,5
,C,7,2,9
,P,23,22,4

Round 244
,G,18,16,8
,C,3,1,17
,P,20,14,3

Round 245
,G,13,12,10
,C,4,8,16
,P,14,12,11

Round 246
,G,11,12,12
,C,9,5,13
,P,20,15,3

Round 247
,G,12,17,3
,C,9,2,13
,P,18,12,14

Round 248
,G,13,13,19
,C,7,4,17
,P,12,8,7

Round 249
,G,10,19,8
,C,6,6,8
,P,19,13,11

Round 250
,G,9,32,2
,C,0,1,11
,P,27,18,0

Round 251
,G,2,6,36
,C,3,2,35
,P,6,3,7

Round 252
,G,7,5,28
,C,2,4,14
,P,9,18,13

Round 253
,G,4,4,33
,C,5,1,14
,P,8,22,9

Round 254
,G,2,4,43
,C,2,0,1
,P,2,42,4

Round 255
,G,2,2,41
,C,1,1,45
,P,2,3,3

Round 256
,G,4,2,37
,C,5,0,34
,P,4,5,9

Round 257
,G,8,6,27
,C,4,4,24
,P,9,9,9

Round 258
,G,4,8,26
,C,6,4,6
,P,11,24,11

Round 259
,G,3,7,33
,C,4,0,6
,P,7,37,3

Round 260
,G,2,10,26
,C,3,5,19
,P,6,16,13

Round 261
,G,2,15,23
,C,4,7,7
,P,12,22,8

Round 262
,G,3,17,14
,C,5,5,5
,P,20,20,11

Round 263
,G,3,20,18
,C,3,4,7
,P,17,22,6

Round 264
,G,0,9,32
,C,3,8,31
,P,5,4,8

Round 265
,G,2,14,23
,C,4,4,15
,P,11,8,19

Round 266
,G,2,14,18
,C,1,9,10
,P,11,17,18

Round 267
,G,1,14,22
,C,0,15,9
,P,10,20,9

Round 268
,G,2,20,15
,C,2,11,9
,P,14,19,8

Round 269
,G,2,11,19
,C,3,9,19
,P,14,14,9

Round 270
,G,0,20,21
,C,0,10,4
,P,11,32,2

Round 271
,G,2,25,19
,C,9,2,3
,P,7,30,3

Round 272
,G,0,34,18
,C,9,10,2
,P,3,23,1

Round 273
,G,5,23,10
,C,11,9,10
,P,14,12,6

Round 274
,G,4,30,15
,C,7,8,7
,P,7,22,0

Round 275
,G,1,32,5
,C,1,9,13
,P,18,20,1

Round 276
,G,12,24,7
,C,13,7,4
,P,9,24,0

Round 277
,G,1,4,30
,C,30,0,1
,P,3,31,0

Round 278
,G,0,27,4
,C,6,32,9
,P,9,10,3

Round 279
,G,2,31,9
,C,7,2,10
,P,13,25,1

Round 280
,G,3,33,11
,C,3,9,9
,P,17,15,0

Round 281
,G,3,23,10
,C,11,1,19
,P,21,12,0

Round 282
,G,2,0,32
,C,16,0,1
,P,16,33,0

Round 283
,G,1,15,5
,C,3,0,28
,P,13,27,8

Round 284
,G,6,12,17
,C,14,0,8
,P,7,29,7

Round 285
,G,1,8,22
,C,9,2,12
,P,12,30,4

Round 286
,G,1,4,26
,C,13,0,8
,P,14,34,0

Round 287
,G,1,2,31
,C,16,1,1
,P,15,33,0

Round 288
,G,3,25,15
,C,10,8,5
,P,10,20,4

Round 289
,G,0,11,12
,C,6,2,23
,P,9,35,2

Round 290
,G,0,18,11
,C,5,10,10
,P,22,15,9

Round 291
,G,2,9,15
,C,8,1,20
,P,6,32,7

Round 292
,G,1,15,15
,C,10,0,20
,P,8,27,4

Round 293
,G,3,28,7
,C,8,1,21
,P,2,19,11

Round 294
,G,2,29,16
,C,17,11,8
,P,1,15,1

Round 295
,G,3,15,7
,C,5,6,23
,P,8,26,7

Round 296
,G,3,24,14
,C,12,11,11
,P,4,19,2

Round 297
,G,2,23,11
,C,12,2,18
,P,6,23,3

Round 298
,G,0,24,10
,C,14,10,19
,P,4,16,3

Round 299
,G,2,26,6
,C,15,18,13
,P,3,14,3

Round 300
,G,2,30,3
,C,10,17,17
,P,9,9,3

Round 301
,G,7,22,4
,C,4,28,17
,P,4,12,2

Round 302
,G,4,22,0
,C,20,31,14
,P,1,8,0

Round 303
,G,3,20,8
,C,13,30,16
,P,3,6,1

Round 304
,G,11,27,1
,C,12,25,16
,P,1,7,0

Round 305
,G,0,15,8
,C,3,39,12
,P,10,12,1

Round 306
,G,5,18,1
,C,8,43,12
,P,10,3,0

Round 307
,G,1,28,2
,C,4,12,26
,P,1,26,0

Round 308
,G,5,28,2
,C,18,16,15
,P,4,11,1

Round 309
,G,1,20,8
,C,7,24,24
,P,7,9,0

Round 310
,G,14,24,6
,C,10,17,12
,P,4,12,1

Round 311
,G,3,18,9
,C,8,13,21
,P,10,16,2

Round 312
,G,4,15,3
,C,15,16,15
,P,9,16,7

Round 313
,G,4,16,3
,C,14,17,16
,P,9,16,5

Round 314
,G,7,12,7
,C,18,10,16
,P,11,15,4

Round 315
,G,14,21,2
,C,12,12,12
,P,5,21,1

Round 316
,G,3,15,2
,C,17,16,13
,P,12,16,6

Round 317
,G,0,4,13
,C,15,7,14
,P,16,30,1

Round 318
,G,3,15,11
,C,18,10,10
,P,11,18,4

Round 319
,G,1,9,4
,C,12,11,21
,P,21,19,2

Round 320
,G,1,7,13
,C,10,6,21
,P,17,18,7

Round 321
,G,2,3,9
,C,13,14,14
,P,22,11,12

Round 322
,G,2,6,17
,C,10,5,13
,P,15,27,5

Round 323
,G,0,13,15
,C,5,4,26
,P,15,20,2

Round 324
,G,1,2,9
,C,5,6,27
,P,18,9,23

Round 325
,G,2,18,16
,C,5,1,26
,P,13,19,0

Round 326
,G,0,9,14
,C,4,5,24
,P,12,18,14

Round 327
,G,0,11,14
,C,3,0,32
,P,11,22,7

Round 328
,G,0,11,13
,C,6,3,23
,P,14,23,7

Round 329
,G,0,6,13
,C,11,8,14
,P,17,13,18

Round 330
,G,2,15,9
,C,8,2,23
,P,12,18,11

Round 331
,G,2,5,17
,C,14,8,12
,P,13,29,0

Round 332
,G,3,14,10
,C,13,4,16
,P,14,24,2

Round 333
,G,1,13,19
,C,16,5,15
,P,14,17,0

Round 334
,G,1,17,18
,C,17,3,13
,P,16,15,0

Round 335
,G,3,13,15
,C,14,1,18
,P,12,21,3

Round 336
,G,2,18,14
,C,11,15,10
,P,13,16,1

Round 337
,G,2,17,18
,C,9,5,17
,P,12,15,5

Round 338
,G,0,15,19
,C,9,3,21
,P,11,16,6

Round 339
,G,2,14,18
,C,11,4,14
,P,13,21,3

Round 340
,G,1,12,12
,C,6,10,15
,P,21,23,0

Round 341
,G,1,12,12
,C,10,3,19
,P,17,25,1

Round 342
,G,4,27,15
,C,7,5,9
,P,16,12,5

Round 343
,G,4,24,12
,C,9,4,12
,P,14,14,7

Round 344
,G,3,27,10
,C,7,3,14
,P,13,19,4

Round 345
,G,4,14,13
,C,11,9,12
,P,14,20,3

Round 346
,G,3,22,17
,C,5,1,13
,P,13,16,10

Round 347
,G,1,14,9
,C,9,7,15
,P,17,21,7

Round 348
,G,4,21,16
,C,3,2,14
,P,15,11,14

Round 349
,G,1,30,30
,C,1,1,4
,P,26,5,2

Round 350
,G,3,23,26
,C,6,4,3
,P,21,10,4

Round 351
,G,11,17,10
,C,10,2,14
,P,15,16,5

Round 352
,G,7,8,10
,C,6,13,14
,P,9,28,5

Round 353
,G,12,12,14
,C,13,1,13
,P,10,23,2

Round 354
,G,4,14,18
,C,10,10,13
,P,10,14,7

Round 355
,G,10,10,15
,C,13,2,16
,P,8,24,2

Round 356
,G,4,19,19
,C,9,7,15
,P,11,10,6

Round 357
,G,6,14,12
,C,9,10,14
,P,14,19,2

Round 358
,G,7,19,10
,C,15,6,12
,P,8,18,5

Round 359
,G,7,14,15
,C,8,10,11
,P,13,19,3

Round 360
,G,4,15,15
,C,14,9,11
,P,9,18,5

Round 361
,G,1,13,15
,C,13,5,16
,P,11,23,3

Round 362
,G,8,19,23
,C,8,1,17
,P,8,15,1

Round 363
,G,0,18,18
,C,8,0,14
,P,18,18,6

Round 364
,G,4,24,16
,C,5,4,20
,P,11,15,1

Round 365
,G,0,19,14
,C,12,6,16
,P,5,21,7

Round 366
,G,6,19,17
,C,4,4,18
,P,10,13,9

Round 367
,G,0,15,19
,C,10,7,17
,P,8,21,3

Round 368
,G,3,15,16
,C,6,6,15
,P,8,22,9

Round 369
,G,4,18,19
,C,5,6,15
,P,11,18,4

Round 370
,G,3,12,18
,C,12,9,13
,P,9,19,5

Round 371
,G,10,14,21
,C,5,6,14
,P,9,17,4

Round 372
,G,2,15,13
,C,8,8,15
,P,8,24,7

Round 373
,G,6,16,24
,C,8,1,2
,P,18,23,2

Round 374
,G,6,11,34
,C,8,2,5
,P,10,21,3

Round 375
,G,1,13,21
,C,8,0,16
,P,11,26,4

Round 376
,G,3,13,30
,C,9,0,6
,P,15,23,1

Round 377
,G,6,14,19
,C,7,5,15
,P,6,21,7

Round 378
,G,9,15,16
,C,11,1,13
,P,13,19,3

Round 379
,G,0,19,12
,C,10,1,18
,P,11,27,2

Round 380
,G,7,16,19
,C,10,1,12
,P,10,23,2

Round 381
,G,6,13,28
,C,7,3,7
,P,10,24,2

Round 382
,G,4,21,13
,C,7,12,10
,P,8,21,4

Round 383
,G,7,10,24
,C,8,1,10
,P,10,26,4

Round 384
,G,7,15,19
,C,4,5,8
,P,16,24,2

Round 385
,G,6,7,11
,C,8,7,14
,P,12,31,4

Round 386
,G,5,16,15
,C,4,6,4
,P,13,25,12

Round 387
,G,4,10,30
,C,6,8,7
,P,7,19,9

Round 388
,G,4,12,14
,C,9,9,9
,P,10,25,8

Round 389
,G,5,18,27
,C,2,6,1
,P,14,19,8

Round 390
,G,3,16,18
,C,12,3,6
,P,12,26,4

Round 391
,G,2,13,25
,C,2,9,19
,P,7,14,9

Round 392
,G,0,19,19
,C,6,1,18
,P,11,18,8

Round 393
,G,0,9,23
,C,3,4,14
,P,15,22,10

Round 394
,G,1,17,18
,C,10,5,14
,P,7,21,7

Round 395
,G,2,14,22
,C,5,1,16
,P,14,18,8

Round 396
,G,2,9,27
,C,2,5,22
,P,7,14,12

Round 397
,G,1,16,22
,C,6,1,12
,P,15,18,9

Round 398
,G,2,4,57
,C,0,0,27
,P,3,6,1

Round 399
,G,1,30,5
,C,1,0,61
,P,0,0,2

Round 400
,G,0,11,26
,C,5,0,9
,P,17,25,7

Round 401
,G,3,8,30
,C,4,3,19
,P,9,16,8

Round 402
,G,2,15,31
,C,11,6,5
,P,10,18,2

Round 403
,G,0,20,15
,C,6,1,37
,P,6,11,4

Round 404
,G,0,15,25
,C,6,2,21
,P,12,14,5

Round 405
,G,1,12,28
,C,1,0,14
,P,1,28,15

Round 406
,G,0,9,12
,C,5,14,13
,P,16,21,10

Round 407
,G,0,9,23
,C,8,2,15
,P,13,23,7

Round 408
,G,5,5,22
,C,11,3,6
,P,14,27,7

Round 409
,G,3,11,20
,C,5,5,10
,P,14,23,9

Round 410
,G,0,17,18
,C,2,9,26
,P,12,11,5

Round 411
,G,2,9,24
,C,9,5,12
,P,11,20,8

Round 412
,G,1,0,29
,C,10,3,8
,P,10,24,15

Round 413
,G,2,12,21
,C,3,6,18
,P,12,16,10

Round 414
,G,1,4,21
,C,4,1,12
,P,23,25,9

Round 415
,G,0,1,20
,C,0,6,11
,P,12,24,26

Round 416
,G,2,4,13
,C,5,0,21
,P,16,25,14

Round 417
,G,2,7,18
,C,10,0,12
,P,15,29,7

Round 418
,G,0,3,23
,C,1,0,15
,P,20,27,11

Round 419
,G,1,5,15
,C,6,5,12
,P,20,24,12

Round 420
,G,2,4,28
,C,1,0,5
,P,27,29,4

Round 421
,G,3,4,25
,C,1,2,5
,P,26,30,4

Round 422
,G,1,3,25
,C,2,0,7
,P,27,34,1

Round 423
,G,2,6,27
,C,0,1,1
,P,32,30,1

Round 424
,G,1,5,23
